ResponseID,Participation,GetStarted,PriorTraining.Course,PriorTraining.PI,PriorTraining.Self,PriorTraining.JC,PriorTraining.No,PriorTrainingTEXT,WhyParticipate.PeerRev,WhyParticipate.Lit,WhyParticipate.Productivity,WhyParticipate.OpenSci,WhyParticipate.Community,WhyParticipate.Visibility,WhyParticipateTEXT,BarriersParticipate,ReviewPreprint.Project,ReviewPreprint.Interest,ReviewPreprint.Expertise,ReviewPreprint.Learn,ReviewPreprint.Time,ReviewPreprintTEXT,NotReviewPreprint.Expertise,NotReviewPreprint.Time,NotReviewPreprint.How,NotReviewPreprint.COI,NotReviewPreprint.Interest,NotReviewPreprint.Recognition,NotReviewPreprint.Language,NotReviewPreprintTEXT,OtherActivities.Comment,OtherActivities.Connect,OtherActivities.PreprintJC,OtherActivities.preLight,OtherActivities.DontEngage,OtherActivitiesTEXT,ASAPbioCrowd,ASAPbioParticipation,NoPreprint,SatisfactionNo,BarriersNo,ASAPbioPos,ASAPbioNeg,ASAPbioParticipationPast,ASAPbioPosPast,ASAPbioNegPast,WhyStop.Enjoy,WhyStop.Recognition,WhyStop.Career,WhyStop.Topic,WhyStop.ProfDev,WhyStop.Time,WhyStopTEXT,WhyStopDetail,Nationality,CareerLocation,JobTitle,ScientificInterest,Discipline
Response001,0-1 years,,FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,4-6,I'm satisfied with the number of preprints I am reviewing.,,,,,,,,,,,,,,,India,United States,Post-doctoral Fellow,Biology,Molecular Biology
Response002,0-1 years,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,[Free-text Response],FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,1-3,I'm unsatisfied with the number of preprints I am reviewing - I would like to review more.,[Free-text Response],[Free-text Response],[Free-text Response],,,,,,,,,,,,India,United States,Post-doctoral Fellow,Biology,Neuroscience
Response003,0-1 years,[Free-text Response],TRUE,TRUE,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,FALSE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,1-3,I'm unsatisfied with the number of preprints I am reviewing - I would like to review more.,,[Free-text Response],,,,,,,,,,,,,Thailand,Thailand,"Other, outside academia",Earth and environmental science,
Response004,0-1 years,[Free-text Response],FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,[Free-text Response],TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,,"No, I've never participated in ASAPbio's Crowd Preprint Review",,,,,,,,,,,,,,,,,,United States,United States,Research Scientist,Biology,Neuroscience
Response005,0-1 years,[Free-text Response],FALSE,TRUE,TRUE,FALSE,FALSE,[Free-text Response],FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,[Free-text Response],FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],"No, I've never participated in ASAPbio's Crowd Preprint Review",,,,,,,,,,,,,,,,,,United States,United States,Associate Professor/Lecturer,Biology,Genomics
Response006,2-4 years,[Free-text Response],FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,[Free-text Response],FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,,"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,0-1 years,[Free-text Response],,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],,India,India,Post-doctoral Fellow,Biology,Cell Biology
Response007,0-1 years,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,0-1 years,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,India,India,PhD Student,Biology,Cancer Biology
Response008,0-1 years,[Free-text Response],FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,[Free-text Response],TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,1-3,I'm satisfied with the number of preprints I am reviewing.,[Free-text Response],[Free-text Response],,,,,,,,,,,,,United States,United States,"Other, outside academia",Meta-research,
Response009,0-1 years,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",0-1 years,1-3,I'm unsatisfied with the number of preprints I am reviewing - I would like to review more.,,,,,,,,,,,,,,,India,India,PhD Student,Biology,Synthetic Biology
Response010,0-1 years,[Free-text Response],TRUE,FALSE,FALSE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,[Free-text Response],FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,"No, I've never participated in ASAPbio's Crowd Preprint Review",,,,,,,,,,,,,,,,,,Germany,Germany,PhD Student,Biology,Microbiology
Response011,2-4 years,[Free-text Response],FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,,"Yes, I am an active participant in ASAPbio's Crowd Preprint Review",2-4 years,1-3,I'm unsatisfied with the number of preprints I am reviewing - I would like to review more.,,,,,,,,,,,,,,,Iran,Iran,Research Scientist,Biology,Animal Behavior and Cognition
Response012,2-4 years,[Free-text Response],FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,[Free-text Response],TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,FALSE,,"Yes, I used to be involved in ASAPbio's Crowd Preprint Review, but am no longer active",,,,,,,2-4 years,[Free-text Response],[Free-text Response],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],[Free-text Response],Netherlands,Netherlands,Principal Investigator,Biology,Cell Biology
