ResponseID,Participation,GetStarted,PriorTraining.Course,PriorTraining.PI,PriorTraining.Self,PriorTraining.JC,PriorTraining.No,PriorTrainingTEXT,WhyParticipate.PeerRev,WhyParticipate.Lit,WhyParticipate.Productivity,WhyParticipate.OpenSci,WhyParticipate.Community,WhyParticipate.Visibility,WhyParticipateTEXT,BarriersParticipate,ReviewPreprint.Project,ReviewPreprint.Interest,ReviewPreprint.Expertise,ReviewPreprint.Learn,ReviewPreprint.Time,ReviewPreprintTEXT,NotReviewPreprint.Expertise,NotReviewPreprint.Time,NotReviewPreprint.How,NotReviewPreprint.COI,NotReviewPreprint.Interest,NotReviewPreprint.Recognition,NotReviewPreprint.Language,NotReviewPreprintTEXT,OtherActivities.Comment,OtherActivities.Connect,OtherActivities.PreprintJC,OtherActivities.preLight,OtherActivities.DontEngage,OtherActivitiesTEXT,ASAPbioCrowd,ASAPbioParticipation,NoPreprint,SatisfactionNo,BarriersNo,ASAPbioPos,ASAPbioNeg,ASAPbioParticipationPast,ASAPbioPosPast,ASAPbioNegPast,WhyStop.Enjoy,WhyStop.Recognition,WhyStop.Career,WhyStop.Topic,WhyStop.ProfDev,WhyStop.Time,WhyStopTEXT,WhyStopDetail,Nationality,CareerLocation,JobTitle,ScientificInterest,Discipline,Nationality.Continent,Nationality.GN.GS,CareerLocation.Continent,CareerLocation.GN.GS,JobTitle.Recoded
Response001,0-1 years,,FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,Actively participate,0-1 years,4-6,I'm satisfied with the number of preprints I am reviewing.,,,,,,,,,,,,,,,India,United States,Post-doctoral Fellow,Biology,Molecular Biology,Asia,GS,North America,GN,Postdocs
Response002,0-1 years,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,[Free-text Response],FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,Actively participate,0-1 years,1-3,I'm unsatisfied with the number of preprints I am reviewing - I would like to review more.,[Free-text Response],[Free-text Response],[Free-text Response],,,,,,,,,,,,India,United States,Post-doctoral Fellow,Biology,Neuroscience,Asia,GS,North America,GN,Postdocs
Response003,0-1 years,[Free-text Response],TRUE,TRUE,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,FALSE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],Actively participate,0-1 years,1-3,I'm unsatisfied with the number of preprints I am reviewing - I would like to review more.,,[Free-text Response],,,,,,,,,,,,,Thailand,Thailand,"Other, outside academia",Earth and environmental science,,Asia,GS,Asia,GS,Other
Response004,0-1 years,[Free-text Response],FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,[Free-text Response],TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,,Never participated,,,,,,,,,,,,,,,,,,United States,United States,Research Scientist,Biology,Neuroscience,North America,GN,North America,GN,Research scientists
Response005,0-1 years,[Free-text Response],FALSE,TRUE,TRUE,FALSE,FALSE,[Free-text Response],FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,[Free-text Response],FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],Never participated,,,,,,,,,,,,,,,,,,United States,United States,Associate Professor/Lecturer,Biology,Genomics,North America,GN,North America,GN,Faculty
Response006,2-4 years,[Free-text Response],FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,[Free-text Response],FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,,Used to participate,,,,,,,0-1 years,[Free-text Response],,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],,India,India,Post-doctoral Fellow,Biology,Cell Biology,Asia,GS,Asia,GS,Postdocs
Response007,0-1 years,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,Used to participate,,,,,,,0-1 years,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,India,India,PhD Student,Biology,Cancer Biology,Asia,GS,Asia,GS,Students
Response008,0-1 years,[Free-text Response],FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,[Free-text Response],TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,Actively participate,0-1 years,1-3,I'm satisfied with the number of preprints I am reviewing.,[Free-text Response],[Free-text Response],,,,,,,,,,,,,United States,United States,"Other, outside academia",Meta-research,,North America,GN,North America,GN,Other
Response009,0-1 years,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,Actively participate,0-1 years,1-3,I'm unsatisfied with the number of preprints I am reviewing - I would like to review more.,,,,,,,,,,,,,,,India,India,PhD Student,Biology,Synthetic Biology,Asia,GS,Asia,GS,Students
Response010,0-1 years,[Free-text Response],TRUE,FALSE,FALSE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,[Free-text Response],FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,Never participated,,,,,,,,,,,,,,,,,,Germany,Germany,PhD Student,Biology,Microbiology,Europe,GN,Europe,GN,Students
Response011,2-4 years,[Free-text Response],FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,,Actively participate,2-4 years,1-3,I'm unsatisfied with the number of preprints I am reviewing - I would like to review more.,,,,,,,,,,,,,,,Iran,Iran,Research Scientist,Biology,Animal Behavior and Cognition,Asia,GS,Asia,GS,Research scientists
Response012,2-4 years,[Free-text Response],FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,[Free-text Response],TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,FALSE,,Used to participate,,,,,,,2-4 years,[Free-text Response],[Free-text Response],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],[Free-text Response],Netherlands,Netherlands,Principal Investigator,Biology,Cell Biology,Europe,GN,Europe,GN,Faculty
Response013,0-1 years,[Free-text Response],FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,Used to participate,,,,,,,0-1 years,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,United Kingdom,Germany,Post-doctoral Fellow,Biology,Cancer Biology,Europe,GN,Europe,GN,Postdocs
Response014,2-4 years,[Free-text Response],FALSE,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,Used to participate,,,,,,,2-4 years,[Free-text Response],,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,France,United States,Associate Professor/Lecturer,Biology,Cell Biology,Europe,GN,North America,GN,Faculty
Response015,0-1 years,[Free-text Response],TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,[Free-text Response],TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,Never participated,,,,,,,,,,,,,,,,,,Ghana,Ghana,Masters Student,Earth and environmental science,,Africa,GS,Africa,GS,Students
Response016,2-4 years,[Free-text Response],FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,[Free-text Response],TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,[Free-text Response],Used to participate,,,,,,,2-4 years,[Free-text Response],[Free-text Response],FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,[Free-text Response],Portugal,Portugal,I'd prefer not to answer,Biology,Cell Biology,Europe,GN,Europe,GN,I'd prefer not to answer
